gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mir5125,128.8241127,7.25157E-05,0.189116659,0.000383444,0.999694056,0.999694056
Trim68,98.6395626,0.000132968,0.215486083,0.000617063,0.999507655,0.999614289
Frrs1,442.9461199,9.70128E-05,0.109825,0.00088334,0.999295197,0.999555847
Notch4,60.96818457,0.000246386,0.266300157,0.000925221,0.999261781,0.999555847
Ano6,5982.860518,7.37447E-05,0.070707695,0.001042952,0.999167845,0.999502949
Pip4k2b,3871.082427,-0.000121978,0.071415558,-0.001708009,0.998637207,0.999083824
Armc6,547.2182155,0.000264302,0.12415772,0.00212876,0.998301497,0.998968839
Wtip,305.805339,0.000256841,0.128149087,0.002004238,0.99840085,0.998968839
Arl16,298.0833107,0.000312883,0.153814909,0.002034151,0.998376983,0.998968839
Mecr,461.4418654,0.000307839,0.113689305,0.002707723,0.997839552,0.998786821
Gm45289,129.8522865,0.000540748,0.199476904,0.002710829,0.997837074,0.998786821
Gm12158,187.8282174,0.000615224,0.178834172,0.003440193,0.997255129,0.998519831
Jmjd4,631.2663202,-0.000382629,0.101051443,-0.00378648,0.996978833,0.998341721
Cndp2,1084.555175,-0.000351406,0.081890853,-0.004291152,0.996576166,0.998184218
Plekhh1,359.6011812,0.000520285,0.122633078,0.004242618,0.996614891,0.998184218
Gm37914,230.8068362,-0.000702339,0.165915044,-0.004233126,0.996622464,0.998184218
Ptpre,169.9031176,0.000757596,0.175946878,0.004305821,0.996564463,0.998184218
Gm43858,121.4869821,-0.001095624,0.207472365,-0.005280817,0.995786537,0.99772892
Taf1c,166.2099866,-0.001111449,0.19642615,-0.005658356,0.995485309,0.997529122
Gm49066,52.37911669,-0.001681951,0.296122999,-0.005679907,0.995468114,0.997529122
Ntn3,303.9073839,0.001067955,0.140499969,0.007601105,0.993935254,0.996395922
Flvcr2,68.99287464,0.002213079,0.27688327,0.007992822,0.993622719,0.996257732
Senp6,3790.460539,-0.000508377,0.062355987,-0.008152819,0.993495064,0.996166947
Xpa,160.9640365,-0.00161607,0.183318716,-0.00881563,0.992966236,0.995897091
A530041M06Rik,110.5586599,-0.001965407,0.210112758,-0.00935406,0.992536649,0.995798478
Gm29151,73.23161868,0.002451875,0.263838888,0.009293078,0.992585303,0.995798478
AC102333.1,59.60597708,0.002472366,0.267290513,0.009249734,0.992619886,0.995798478
Tcta,195.7041032,0.001723135,0.177970974,0.009682115,0.99227491,0.995650121
Kpna4,5424.141344,0.000569285,0.056945188,0.009997063,0.992023631,0.995546837
Gm17083,82.75358309,0.002850899,0.263600083,0.010815244,0.991370852,0.995235456
Gm26743,129.4187693,0.002257182,0.1982194,0.011387291,0.990914452,0.99512481
Gm44260,61.80371486,0.003188967,0.269376575,0.011838324,0.990554604,0.994890852
Dnmt3l-ps1,62.9960618,-0.003616159,0.301719908,-0.011985153,0.99043746,0.99484764
Tlk2,2594.327438,0.000827959,0.066741995,0.012405364,0.990102205,0.994773792
Gm38077,257.0464521,0.001751126,0.141880987,0.012342215,0.990152587,0.994773792
Gm36944,155.4863209,0.002207232,0.174202076,0.012670529,0.989890651,0.994745054
Gm49308,171.2068021,0.002474416,0.189104567,0.013084909,0.989560051,0.994563444
Gm27042,70.46766049,-0.003329006,0.246499575,-0.013505118,0.989224803,0.994410972
Tia1,4047.898175,-0.001059145,0.076610302,-0.013825096,0.988969521,0.994297181
Lurap1l,209.8022554,0.002091491,0.149635331,0.013977252,0.988848129,0.994297181
4933433G19Rik,208.6306826,-0.002213732,0.155668391,-0.014220816,0.988653813,0.994276468
Ccdc152,142.6779697,-0.003092153,0.204874751,-0.015092896,0.987958068,0.993930185
Klc4,258.6334696,-0.002491083,0.162966398,-0.015285867,0.987804118,0.993838827
Gm13830,50.06260006,0.004887844,0.305462501,0.016001453,0.987233232,0.993525114
Gm49768,102.320223,-0.003624449,0.223305802,-0.016230877,0.987050203,0.993378159
Rgl2,742.6567635,0.001520486,0.091318433,0.016650376,0.986715536,0.993078579
Nosip,892.5059989,-0.001565613,0.085996715,-0.018205498,0.985474917,0.99220196
Phf20l1,3984.204816,0.001182092,0.063468034,0.018624996,0.985140263,0.992160926
Tshz1,1605.225837,-0.001325406,0.071647172,-0.018499065,0.985240724,0.992160926
Rad50,1516.591809,0.001481416,0.079751046,0.018575501,0.985179747,0.992160926
Prr36,75.36801437,0.004584337,0.250470307,0.018302917,0.985397201,0.992160926
Gpatch1,433.2575614,-0.002303727,0.110775558,-0.020796347,0.983408112,0.991299194
Aptx,478.9215149,0.002924233,0.136655739,0.021398534,0.982927743,0.991087117
Gm47218,51.91018519,0.007073102,0.319292583,0.022152417,0.982326374,0.990815706
Gm40309,334.5774062,-0.00287854,0.128757301,-0.022356326,0.982163719,0.990726096
Dcaf12,2276.294652,-0.001609808,0.071721424,-0.022445291,0.982092753,0.990691738
Gm49502,242.2554073,0.00327368,0.14570182,0.022468353,0.982074356,0.990691738
Rapgef6,2243.474989,-0.00164666,0.071782914,-0.022939441,0.98169858,0.990480218
Plpp3,4149.41158,0.001643356,0.069118482,0.023775923,0.981031345,0.990283159
Ppp2cb,2888.6871,-0.001697718,0.071697667,-0.023678849,0.981108777,0.990283159
Epc1,2297.08092,-0.001552513,0.065783001,-0.023600523,0.981171255,0.990283159
Dock11,1887.024826,0.0016485,0.068753316,0.023977025,0.980870935,0.990283159
Wdr18,1018.402813,0.001968567,0.082470881,0.023869849,0.980956425,0.990283159
Wdr59,582.9674978,-0.002890168,0.109052422,-0.026502561,0.978856491,0.989057677
Tfap4,305.1075462,-0.003419369,0.129252428,-0.026454969,0.978894451,0.989057677
Gm45264,290.7734329,0.004500772,0.168863615,0.026653295,0.978736265,0.989057677
Gm16973,216.7418258,0.004034796,0.152221626,0.026506065,0.978853696,0.989057677
Gpld1,57.22880959,0.007553426,0.282670107,0.026721702,0.978681704,0.989057677
Fam185a,271.8109536,0.003848272,0.143306269,0.026853481,0.978576597,0.989046634
Gm17056,116.1106792,-0.005474802,0.20164592,-0.027150573,0.978339638,0.988875263
Asb1,933.0078733,-0.002981208,0.109526438,-0.02721907,0.978285006,0.988857276
Gm24249,60.4789032,-0.007740882,0.27699055,-0.027946374,0.977704922,0.988475333
Gpatch2l,597.2688522,0.002837133,0.101091824,0.028064908,0.977610383,0.988435899
Pde7a,2241.011767,0.002079633,0.072699026,0.028606071,0.97717877,0.988148381
Ybey,225.8625573,0.00475284,0.164474958,0.028897043,0.976946704,0.987950925
Gm14230,68.52796555,0.007466942,0.258227619,0.028916126,0.976931484,0.987950925
Dalrd3,631.5302805,0.002876756,0.097988691,0.029358043,0.976579035,0.987784728
Mir3113,113.143472,-0.005997965,0.204472857,-0.029333798,0.976598371,0.987784728
Gm42548,275.0799017,0.004005396,0.135126922,0.029641735,0.976352781,0.987714232
Gm43654,188.9874507,0.004807976,0.158992697,0.030240229,0.975875465,0.987408758
Gm37303,176.556315,0.005892202,0.192903523,0.030544813,0.975632554,0.98732867
Sema4g,140.62572,0.00586313,0.191175753,0.030668796,0.975533677,0.987303047
Hoxa3,104.483309,0.00647184,0.210420648,0.030756676,0.975463592,0.987291681
Gm13204,87.35565437,-0.00761039,0.247661534,-0.030728996,0.975485667,0.987291681
Wdr91,566.7095798,-0.00337254,0.104457822,-0.032286145,0.974243858,0.986741704
Naa30,1772.810838,-0.002503614,0.075560245,-0.033134009,0.973567722,0.98638974
Mkks,612.4043951,-0.003222043,0.095329194,-0.033799119,0.973037339,0.986080342
2610020C07Rik,318.6084535,0.004822935,0.14348983,0.033611688,0.973186802,0.986080342
Gm42675,145.6235483,0.006311831,0.184168658,0.034272015,0.97266024,0.985844497
Gm49125,93.1026851,-0.008345769,0.242530402,-0.03441123,0.972549228,0.985776838
Gm49327,178.2857219,-0.006230649,0.18010389,-0.034594751,0.972402887,0.985769754
Csrnp2,629.2207161,0.003615754,0.102742915,0.03519225,0.971926442,0.985412198
Mosmo,1539.875018,-0.002664025,0.072900065,-0.036543524,0.970848975,0.984701691
Gm12609,90.29074267,-0.008402034,0.225442009,-0.03726916,0.970270395,0.984368031
Gm28800,56.78750294,0.011600416,0.3098207,0.037442354,0.970132302,0.984360127
Gm42515,56.85059712,0.010702613,0.280616586,0.038139631,0.969576353,0.98402918
A430090L17Rik,57.24917855,-0.010752451,0.279409689,-0.038482743,0.969302791,0.983927552
Zfp14,163.3710439,0.006966408,0.177442305,0.039260129,0.968682994,0.983447158
Gm7045,85.64961218,0.010329499,0.259404361,0.039820068,0.968236577,0.983142667
Ccpg1os,150.951068,-0.007560652,0.18601549,-0.040645283,0.967578683,0.982877438
Gm16702,114.7993149,-0.0092578,0.225474495,-0.041059189,0.96724871,0.982622781
9930024M15Rik,82.17467374,-0.011879767,0.287411358,-0.041333672,0.96702989,0.982512031
Phf3,4677.661093,-0.002465423,0.059211521,-0.041637548,0.96678764,0.982377448
Golgb1,2417.371105,-0.003248167,0.077975717,-0.04165613,0.966772826,0.982377448
Stx3,546.3394624,0.004560106,0.108905688,0.041872062,0.966600688,0.982299029
Rps6kc1,665.3299883,-0.00405658,0.096702898,-0.041948898,0.966539436,0.982274435
5730455P16Rik,1264.109254,0.003499587,0.082968351,0.042179783,0.966355379,0.98219847
Nelfb,1235.717996,-0.003427314,0.080367342,-0.0426456,0.965984045,0.981912425
Intu,609.5118236,0.004716914,0.11078105,0.042578707,0.96603737,0.981912425
4930412F12Rik,65.91829192,0.011244009,0.262341969,0.042860123,0.965813037,0.981795931
Gm41662,66.92513511,0.011655368,0.271404716,0.042944604,0.965745693,0.981764651
Tmem216,218.1135461,-0.006677244,0.155041037,-0.043067589,0.965647655,0.981739345
Gm43169,190.1446748,-0.006904657,0.158948419,-0.043439608,0.965351105,0.981512198
Amn1,523.492349,-0.004758063,0.107597389,-0.044220991,0.96472825,0.981213395
Gm46123,82.9663978,-0.01112599,0.250941654,-0.044336958,0.964635812,0.98119373
Snx24,305.1205063,0.006417203,0.143503656,0.044718047,0.964332049,0.980961268
Zfp939,171.246587,-0.007501991,0.16700902,-0.044919676,0.964171333,0.980961268
2310015A10Rik,79.95414016,0.011343663,0.253419719,0.044762353,0.964296733,0.980961268
Gm26530,132.6342444,0.008713448,0.193014745,0.045143949,0.963992571,0.980906135
Lrrc45,229.4396127,0.008147101,0.180049987,0.045249107,0.963908753,0.980900207
Gm44746,90.01771735,-0.011369143,0.250381415,-0.045407296,0.963782665,0.980846263
Gm42934,73.93727492,0.011325484,0.249330688,0.045423545,0.963769714,0.980846263
Gm43411,51.98864464,0.013592377,0.299096042,0.045444857,0.963752727,0.980846263
2810039B14Rik,57.99569282,0.013159199,0.283374866,0.046437426,0.962961607,0.980378905
Gm48734,123.7088254,-0.009525182,0.201288555,-0.047321031,0.962257367,0.979865016
Gm37639,102.8459803,0.010329857,0.217435139,0.047507764,0.962108543,0.979859855
Ccdc130,299.3205935,0.006436782,0.134891779,0.047718123,0.961940891,0.97979001
Fbxl22,108.8456621,-0.010167222,0.213073461,-0.04771698,0.961941801,0.97979001
Tarbp1,762.0977294,0.004617148,0.095413515,0.048390923,0.961404693,0.979583051
Bphl,293.8272458,-0.007895413,0.162916814,-0.048462847,0.961347374,0.979583051
Gm15958,65.58720979,-0.012782831,0.263542389,-0.04850389,0.961314664,0.979583051
Gm48591,111.9019363,0.009833715,0.201303394,0.048850222,0.961038659,0.979576312
Map2,41709.70932,-0.002470848,0.050315031,-0.049107547,0.960833589,0.97954359
Gm48678,212.434735,-0.008851678,0.177899156,-0.04975672,0.960316256,0.979228739
Aph1c,176.8631287,-0.008989569,0.179432263,-0.050100072,0.960042642,0.979228739
6030443J06Rik,248.4668338,0.008663187,0.169132117,0.051221418,0.959149085,0.978671216
Gm43795,104.4822573,-0.011903807,0.229598546,-0.051846179,0.958651259,0.978313876
Car13,158.3738425,0.009285558,0.173934701,0.053385308,0.957424911,0.977704385
Deptor,1086.229926,0.005091312,0.094232631,0.054029179,0.956911916,0.977396405
Spata9,51.55778255,-0.016111399,0.29835013,-0.054001648,0.956933852,0.977396405
Tatdn2,914.7532119,0.004895683,0.090371976,0.05417258,0.956797666,0.977377723
B4galt4,483.1410661,-0.006364755,0.117090254,-0.054357681,0.956650194,0.977366996
Gm14335,112.5257731,-0.01193223,0.214198508,-0.055706412,0.955575692,0.976752489
Pde3b,2531.384242,-0.004152878,0.074428022,-0.055797239,0.955503334,0.976747485
Faim,260.7128408,0.00888967,0.159052286,0.055891495,0.955428246,0.976747485
Gm37606,961.9663065,-0.00535167,0.095379204,-0.056109397,0.955254658,0.976684671
Rtn4ip1,860.179784,-0.004949079,0.087501668,-0.056559826,0.954895837,0.976392178
Atl1,124.8006,0.010771089,0.18861712,0.057105575,0.954461095,0.976282337
Rab7,9231.77586,0.003470514,0.06044327,0.057417706,0.954212459,0.976277682
Gm26699,668.8454194,0.005860628,0.102535713,0.057156943,0.954420177,0.976277682
Praf2,289.3749209,-0.007842702,0.136919383,-0.057279702,0.954322389,0.976277682
Camkk2,7729.343374,-0.00377267,0.065584292,-0.057523984,0.954127801,0.976239011
Gm10819,69.04105974,0.015781906,0.273607054,0.057680917,0.954002795,0.976164344
Mark3,5048.11339,0.003633162,0.062185263,0.058424803,0.953410259,0.975765183
Gm47817,147.0788903,0.011147723,0.189844087,0.058720412,0.953174801,0.975624711
Has1,140.7860007,0.011570933,0.195279782,0.059253105,0.952750512,0.975424666
Brwd1,3544.785264,-0.003687567,0.06180485,-0.059664678,0.952422704,0.975178791
Gspt2,528.1306247,0.006529556,0.107332015,0.060835118,0.951490522,0.974803892
Zfp619,554.2700202,0.006461943,0.105491637,0.0612555,0.95115573,0.974575175
3010003L21Rik,63.03803576,-0.017257587,0.278056469,-0.062065045,0.950511033,0.974209391
Gm26518,497.8947222,0.007316414,0.117695019,0.062164179,0.950432088,0.974165673
Tmem176a,1168.680786,0.005014226,0.080492277,0.062294493,0.950328314,0.974096501
Rab11fip4,82.33695882,-0.014752367,0.235880836,-0.06254161,0.950131527,0.974043564
Gm15738,83.6297497,-0.014591999,0.232655463,-0.062719346,0.949989992,0.97393566
Gm16310,339.0820014,0.007749144,0.122784922,0.063111531,0.949677692,0.973764246
Gm23444,55.56029524,0.018594286,0.291540125,0.063779509,0.949145794,0.973427955
Adgra3,2883.026889,0.004110439,0.064282515,0.063943349,0.949015335,0.973381212
C79798,153.906031,0.011206342,0.17458956,0.064186781,0.948821503,0.973295289
Inpp1,834.5799184,0.006431494,0.098391953,0.065366055,0.94788255,0.972926975
Paox,231.8948741,-0.009691779,0.148150791,-0.065418344,0.947840919,0.972921445
Slc52a2,510.502449,-0.007710259,0.116277706,-0.066309007,0.947131813,0.972343443
Stat5a,56.13439053,-0.020323315,0.30540801,-0.0665448,0.946944092,0.972298317
Fbxl2,77.16075202,0.0171906,0.25661047,0.066991032,0.946588842,0.972183255
Apc-ps1,54.05375801,-0.021248999,0.31707957,-0.067014721,0.946569984,0.972183255
Aldh16a1,455.8379066,-0.009263664,0.137740093,-0.067254665,0.946378967,0.97212708
Vcl,3034.749937,0.004571068,0.067620071,0.067599279,0.946104629,0.971941903
Gm42815,50.91094974,0.024331336,0.359748539,0.067634288,0.94607676,0.971941903
Tspyl1,1856.195151,-0.005500399,0.080003592,-0.0687519,0.945187106,0.971394854
Tpst2,275.8557019,0.009243632,0.134470258,0.068741093,0.945195708,0.971394854
Gm48138,58.43998512,0.020014805,0.290695149,0.068851528,0.945107802,0.971394854
Hist2h3c2,170.4187703,-0.012109507,0.17479713,-0.069277496,0.944768738,0.971254626
Atg12,1521.903934,0.005815616,0.083359578,0.069765418,0.944380372,0.971003015
Gm38104,275.4665982,-0.010263069,0.146352313,-0.070125773,0.944093554,0.970856855
Rhoa,10033.87,0.003946174,0.055813985,0.070702246,0.943634734,0.97068251
Gm10785,61.27622024,-0.018898272,0.267277844,-0.070706468,0.943631373,0.97068251
Pyurf,406.2119754,0.007925733,0.11136608,0.07116829,0.943263818,0.970604743
Rasgrp2,109.6550126,-0.01613389,0.226724783,-0.071160679,0.943269875,0.970604743
Alpk1,154.1986372,0.012519057,0.173449737,0.072176856,0.942461163,0.969958496
Irx1,306.6667388,-0.010270195,0.141495359,-0.072583265,0.942137744,0.969764782
Cyb5r3,3319.79735,-0.004604466,0.062633931,-0.073513926,0.941397163,0.969272225
Adck5,150.9815919,-0.013974699,0.189298322,-0.073823682,0.941150683,0.96912996
Prdm9,112.0561303,0.015508015,0.20954805,0.074006965,0.941004843,0.969016956
