gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sertad3,54.09455824,0.273253625,0.312024136,0.875745155,0.381168592,0.658568094
Dus2,219.7218533,-0.144284973,0.164637516,-0.876379675,0.380823664,0.658220648
Gm38372,97.59910055,0.217017746,0.247616686,0.876426176,0.380798393,0.658220648
Cyb5rl,67.30896037,-0.264983224,0.302343377,-0.876431384,0.380795563,0.658220648
Tlr1,95.88472437,-0.215049312,0.245262634,-0.876812372,0.380588558,0.658111807
Gprc5b,2414.382926,0.075678865,0.086254166,0.877393738,0.380272813,0.657788953
Slx1b,281.4477557,0.131450213,0.149810963,0.877440544,0.3802474,0.657788953
Zfp942,631.7809206,0.120386177,0.13716715,0.877660409,0.380128036,0.657687301
Cenpf,323.8537248,-0.179471009,0.204484867,-0.877673793,0.38012077,0.657687301
Spsb1,117.561939,-0.185568093,0.211402796,-0.877793936,0.380055556,0.657687301
Slc16a11,65.58906704,0.278559262,0.317290976,0.877929987,0.379981715,0.657687301
Necap1,4450.959969,-0.070597526,0.080359917,-0.878516669,0.379663396,0.657297008
Iqsec2,2994.890225,-0.075981041,0.086451703,-0.878884257,0.379464035,0.657297008
Srsf2,2333.3967,-0.084864877,0.096584095,-0.878663063,0.379583992,0.657297008
Rnf103,1370.190039,-0.08575636,0.097619898,-0.878472133,0.379687554,0.657297008
Plekho1,553.9756804,-0.097831024,0.111364421,-0.878476481,0.379685196,0.657297008
Ahcy,423.9385378,0.117583449,0.133795648,0.878828652,0.379494188,0.657297008
Nme5,197.2696123,0.172433966,0.19622161,0.878771537,0.379525162,0.657297008
Vipr2,54.41152025,-0.2883005,0.327971414,-0.87904155,0.379378748,0.657297008
Dhx35,415.1988926,0.122948661,0.139687173,0.880171447,0.378766439,0.656371122
R3hdm4,3776.269338,-0.062746806,0.071227584,-0.880934072,0.378353505,0.656105271
Dlat,3121.103217,0.069467008,0.078883741,0.880625171,0.37852073,0.656105271
Rpn2,2166.872607,-0.074913526,0.085018473,-0.881144101,0.37823983,0.656105271
Adam9,1566.089363,-0.078062076,0.088607513,-0.880987104,0.3783248,0.656105271
Plekhb1,924.3560823,-0.137151194,0.155748303,-0.880595113,0.378537005,0.656105271
Fhod3,917.1736646,-0.103109736,0.117094561,-0.880568111,0.378551625,0.656105271
Antxr1,211.751672,-0.180614949,0.205114426,-0.880557026,0.378557627,0.656105271
Rbm25,2931.850526,-0.066350114,0.075280596,-0.88137073,0.378117194,0.65608448
Pbrm1,1747.224584,-0.070297563,0.079768171,-0.881273345,0.378169889,0.65608448
Urod,486.7234689,0.113066387,0.128299457,0.881269409,0.378172019,0.65608448
Dzank1,4279.897747,-0.075373351,0.085477073,-0.881796121,0.37788707,0.655882179
Pias3,276.8607857,-0.138804932,0.157424689,-0.881722762,0.377926749,0.655882179
Vdac3-ps1,74.12191854,0.233480134,0.264739692,0.881923417,0.377818223,0.655882179
Abhd17a,2636.092405,0.06661569,0.075521034,0.88208128,0.377732854,0.655843386
Eif1a,1764.261231,0.074471943,0.084419669,0.882163413,0.377688444,0.655840738
Cep85,218.7500124,0.151925857,0.172150941,0.882515403,0.377498154,0.655584745
Ccnjl,196.3443302,-0.172833092,0.195818855,-0.882617211,0.377443126,0.655563626
Selenop,1501.153214,-0.266273558,0.301574816,-0.882943615,0.377266737,0.655331691
Gmpr2,141.3395621,-0.185966254,0.210516962,-0.883378955,0.377031557,0.65499757
Copa,5349.241629,-0.058508017,0.066203503,-0.883760144,0.376825706,0.654714328
Efcab14,701.5428474,-0.097090233,0.109840758,-0.883918087,0.376740433,0.654688707
Flad1,429.0187764,-0.118042855,0.133552773,-0.883866747,0.37676815,0.654688707
Zbtb25,281.3782013,-0.140317637,0.158745991,-0.883912949,0.376743207,0.654688707
Rhbdd2,1162.043963,-0.087144166,0.098560815,-0.88416645,0.376606366,0.65463073
St3gal4,226.6223871,0.158905013,0.179691374,0.884321871,0.376522485,0.654610532
Gm49797,204.4369354,-0.157797742,0.178418107,-0.884426727,0.376465901,0.65460978
Rbfa,230.8034181,0.144768353,0.163586522,0.884965036,0.376175489,0.654242553
Cmpk1,2797.778956,-0.087527521,0.098837431,-0.885570583,0.375848969,0.654179361
Dctn5,1919.136886,0.07219446,0.081520142,0.885602729,0.37583164,0.654179361
Ccdc71,966.892541,0.094340781,0.106517653,0.885682124,0.375788844,0.654179361
Slc35b1,900.5107204,-0.096633683,0.109163313,-0.885221236,0.376037321,0.654179361
Zfp654,568.0597061,-0.112039079,0.126558671,-0.885273827,0.376008962,0.654179361
Adhfe1,310.1129722,0.133344421,0.150574406,0.885571621,0.37584841,0.654179361
Ndp,146.5257576,0.191358414,0.216158496,0.885268995,0.376011568,0.654179361
Pcdh18,134.3929436,0.1797913,0.203110968,0.885187547,0.376055488,0.654179361
Gm42918,61.44256765,0.279134112,0.315297059,0.885305156,0.37599207,0.654179361
Luc7l3,5186.726577,0.075516136,0.085222285,0.886107855,0.375559411,0.654074714
Kmt5c,234.9440958,0.139817811,0.15769897,0.886612075,0.375287791,0.653825038
Dgkd,3390.415121,-0.074288058,0.08377363,-0.886771397,0.37520199,0.653750032
Ppm1f,1223.141027,-0.090708053,0.102257366,-0.887056413,0.375048529,0.653615819
Homez,299.6254305,-0.129497358,0.145995782,-0.88699383,0.375082223,0.653615819
Slc25a40,209.7734299,-0.16127998,0.18182563,-0.887003553,0.375076988,0.653615819
Prim2,219.2287063,0.158274336,0.178293206,0.887719392,0.374691712,0.653233054
Rbbp9,826.4682461,0.101186515,0.113959861,0.88791364,0.374587207,0.653125317
Cdk8,921.411072,-0.095570025,0.107618402,-0.888045377,0.374516343,0.653076219
Zdhhc23,749.0648981,-0.092926009,0.104618234,-0.888239129,0.374412135,0.653076219
Sil1,301.5547224,0.135886132,0.15291845,0.888618293,0.374208256,0.652952032
Rps20,2536.605467,0.090568886,0.101879768,0.888978131,0.374014833,0.652780208
Ephx1,1660.675726,0.078695268,0.088527802,0.888932817,0.374039187,0.652780208
Dolk,706.0049623,0.109874826,0.123605298,0.888916797,0.374047797,0.652780208
A330023F24Rik,289.4252355,-0.168537241,0.189570058,-0.889049898,0.373976264,0.652780208
C230034O21Rik,161.1230234,0.168517757,0.18952583,0.889154563,0.373920019,0.652780208
Cacna1b,7403.049474,-0.062325038,0.070038617,-0.889866765,0.373537432,0.652336182
Tent4b,1213.466425,-0.08334371,0.093615756,-0.890274389,0.37331857,0.652028425
Cip2a,163.5320899,-0.19616601,0.220303902,-0.890433663,0.373233074,0.651953557
Lmna,910.0565012,0.088447831,0.099306721,0.890653023,0.373115344,0.651894702
B4galt4,531.577497,0.107879372,0.121134399,0.890575863,0.373156753,0.651894702
Zfp566,54.04403758,0.300045113,0.336875551,0.890670493,0.373105969,0.651894702
Scamp5,9122.43455,-0.057891366,0.064971261,-0.891030362,0.372912882,0.651848054
Zfp874a,240.7964275,-0.143659211,0.161229554,-0.891022814,0.372916931,0.651848054
Plekha8,304.225042,-0.1419952,0.159325597,-0.891226539,0.37280765,0.651806035
Daam2,222.3114086,-0.163000965,0.182791276,-0.891732738,0.372536202,0.651529956
Mgme1,123.0011826,0.190080599,0.21311846,0.891901146,0.37244592,0.651471516
Gria4,3513.022283,0.067802613,0.075995543,0.892191962,0.37229005,0.651273362
Tmem179,2322.337866,0.067040871,0.075123068,0.892413913,0.372171116,0.651139788
Atp6v0c-ps2,2949.465669,0.071711934,0.080337592,0.892632347,0.372054091,0.651074068
Mettl15,143.5241982,0.186282281,0.208704797,0.892563488,0.37209098,0.651074068
2510009E07Rik,1896.633127,-0.112942263,0.126504549,-0.892792109,0.371968513,0.651008751
Klhl29,1253.158867,-0.090641121,0.101485866,-0.893140338,0.371782024,0.650936855
Gm12371,183.5201919,-0.17739562,0.198660068,-0.892960631,0.371878256,0.650936855
Kif20a,94.02888732,-0.292163471,0.327148457,-0.893060824,0.371824601,0.650936855
