"","G1","G2","G3","M1","M2","M3"
"ENSG00000227232.5",10.1762096191713,10.0291267002588,9.91849013014551,10.0756376091043,10.1255114862326,10.1252253455437
"ENSG00000278267.1",9.06638163112072,9.12521804563148,9.14347840017212,9.19019437840548,9.16314358977039,9.09803506035852
"ENSG00000243485.5",9.04162139707638,8.73125801974466,9.02736320966083,8.8734292524191,8.94780470687902,8.97491641874276
"ENSG00000238009.6",8.73125801974466,8.93516103047113,8.85231922630942,8.83180859283178,8.92497956524927,8.80480317338833
"ENSG00000233750.3",8.95988071109133,8.94750737252873,8.83011374364749,8.98732830590075,8.91248492352036,8.91130875469221
"ENSG00000268903.1",9.15553002456616,9.06890329951226,9.06580957437885,9.33036939140641,9.21367512286466,9.20579461872435
"ENSG00000269981.1",9.25562892936705,9.3982773491864,9.36315297533555,9.35051921870559,9.2548634924801,9.40329182022266
"ENSG00000239906.1",8.87313502064816,8.80340112062495,8.87103380228513,8.8734292524191,8.91248492352036,8.73125801974466
"ENSG00000241860.7",9.03511100388164,8.9220116310936,8.99249978780952,8.91927590813571,8.86829125276295,8.93911782128009
"ENSG00000279457.4",10.1726465798763,10.1103021768594,10.1185291772288,10.1157195723425,10.028511620298,10.0669351192708
"ENSG00000273874.1",8.92154474099392,8.87549917090085,8.80116640861529,8.8734292524191,8.79979395092924,8.85861439954231
"ENSG00000228463.10",9.05424281617841,9.0102611799631,8.85231922630942,9.08593607489385,9.03721516901905,9.0831335483432
"ENSG00000236679.2",8.73125801974466,8.90787989781349,8.85231922630942,8.80236520558836,8.82817335349128,8.73125801974466
"ENSG00000290385.1",9.46885940333233,9.3982773491864,9.50668680121515,9.61682332504733,9.65756637531604,9.64067475143766
"ENSG00000250575.1",8.858166886527,8.83327314694354,8.83011374364749,9.12597389725899,8.86829125276295,8.80480317338833
"ENSG00000230021.10",9.06036916115115,8.95918120148108,8.73125801974466,9.16796729846093,9.1296582126075,9.16477131489986
"ENSG00000225972.1",8.88666397660156,8.93516103047113,8.92885366831937,8.90534633298097,8.73125801974466,8.91130875469221
