"mouse_gene","human_gene"
"Gm36501","GM36501"
"Gm17494","GM17494"
"4921511C10Rik","4921511C10RIK"
"Gm9316","GM9316"
"Gm48606","GM48606"
"Pisd-ps2","PISD-PS2"
"Psen2","PSEN2"
"Prkn","PRKN"
"AC125544.1","AC125544.1"
"Gm42852","GM42852"
"AC140469.1","AC140469.1"
"Dok5","DOK5"
"Plin4","PLIN4"
"Gm37447","GM37447"
"Pcdhga11","PCDHGA11"
"Gm38071","GM38071"
"Gm44445","GM44445"
"Gm45629","GM45629"
"A930015D03Rik","A930015D03RIK"
"Ccdc120","CCDC120"
"Syp","SYP"
"4921531C22Rik","4921531C22RIK"
"Gm42531","GM42531"
"Gm18942","GM18942"
"B230319C09Rik","B230319C09RIK"
"Gm10643","GM10643"
"AC166172.3","AC166172.3"
"Kcnk1","KCNK1"
"Gm15481","GM15481"
"A330074H02Rik","A330074H02RIK"
"Gm26629","GM26629"
"Slc6a17","SLC6A17"
"Lca5l","LCA5L"
"Serpinb6a","SERPINB6A"
"Aass","AASS"
"Ciita","CIITA"
"Gm48314","GM48314"
"Ddb2","DDB2"
"Gcnt7","GCNT7"
"Clec2l","CLEC2L"
"C230013L11Rik","C230013L11RIK"
"Bmyc","BMYC"
"Ccdc74a","CCDC74A"
"Gm47921","GM47921"
"Rassf4","RASSF4"
"Gm15952","GM15952"
"Slc2a4rg-ps","SLC2A4RG-PS"
"Gm42479","GM42479"
"Macrod1","MACROD1"
"Gm39214","GM39214"
"Vil1","VIL1"
"Gm37960","GM37960"
"Grk4","GRK4"
"Gm14634","GM14634"
"Gm38365","GM38365"
"Gm44510","GM44510"
"1700040D17Rik","1700040D17RIK"
"Gm3896","GM3896"
"Hecw2","HECW2"
"Gm48478","GM48478"
"Slc2a6","SLC2A6"
"Gm44916","GM44916"
"Cubn","CUBN"
"Pacrg","PACRG"
"Coq8a","COQ8A"
"Bicdl1","BICDL1"
"Iqcg","IQCG"
"Gm48586","GM48586"
"Ccdc151","CCDC151"
"Zmiz1os1","ZMIZ1OS1"
"Gm48717","GM48717"
"Gm43721","GM43721"
"Svip","SVIP"
"Gm47586","GM47586"
"Gm47920","GM47920"
"Serpind1","SERPIND1"
"Srsf12","SRSF12"
"Atg10","ATG10"
"Gm45894","GM45894"
"Brd3os","BRD3OS"
"6330403K07Rik","6330403K07RIK"
"Gm10277","GM10277"
"Gm43457","GM43457"
"Gm17334","GM17334"
"Slc8a2","SLC8A2"
"C79130","C79130"
"Efna3","EFNA3"
"1700086L19Rik","1700086L19RIK"
"9630028I04Rik","9630028I04RIK"
"A930037H05Rik","A930037H05RIK"
"A930001M01Rik","A930001M01RIK"
"Gm38200","GM38200"
"Orm2","ORM2"
"Gm48194","GM48194"
"Gm18821","GM18821"
"Fmo5","FMO5"
"Evi2","EVI2"
"Agt","AGT"
"Smad9","SMAD9"
"Gm42480","GM42480"
"Gm4798","GM4798"
"Gm13563","GM13563"
"Pcdhb9","PCDHB9"
"Six3os1","SIX3OS1"
"Gjc1","GJC1"
"Gm19001","GM19001"
"Gm38012","GM38012"
"Angptl2","ANGPTL2"
"Hacd4","HACD4"
"Erich2os","ERICH2OS"
"Gm8818","GM8818"
"Fam222a","FAM222A"
"Ccdc194","CCDC194"
"Gm26835","GM26835"
"Prrt2","PRRT2"
"Gm9874","GM9874"
"Rapgef4os3","RAPGEF4OS3"
"Cd14","CD14"
"1110015O18Rik","1110015O18RIK"
"Ttll3","TTLL3"
"Morn2","MORN2"
"Htr3a","HTR3A"
"Bcas3os1","BCAS3OS1"
"Cyp46a1","CYP46A1"
"Vsig10l","VSIG10L"
"Pitpnm2os2","PITPNM2OS2"
"E230020D15Rik","E230020D15RIK"
"Trpm3","TRPM3"
"Gm45133","GM45133"
"Csmd2","CSMD2"
"Fchsd1","FCHSD1"
"Gm45630","GM45630"
"Gm44168","GM44168"
"Gm37845","GM37845"
"Ccdc28a","CCDC28A"
"Gm44436","GM44436"
"Gm24273","GM24273"
"Gm47659","GM47659"
"Fam161b","FAM161B"
"Gm37161","GM37161"
"Tchp","TCHP"
"A430110C17Rik","A430110C17RIK"
"Gm21057","GM21057"
"Gm37205","GM37205"
"C730045M19Rik","C730045M19RIK"
"Gm42498","GM42498"
"Adam1a","ADAM1A"
"AC158975.2","AC158975.2"
"2810029C07Rik","2810029C07RIK"
"Kcng3","KCNG3"
"Gm47583","GM47583"
"Gm1972","GM1972"
"Gm44663","GM44663"
"Mlkl","MLKL"
"Gm48582","GM48582"
"Gm27028","GM27028"
"Gm43727","GM43727"
"Oplah","OPLAH"
"Gm17586","GM17586"
"Ccdc122","CCDC122"
"Crispld2","CRISPLD2"
"Rnf135","RNF135"
"9330111N05Rik","9330111N05RIK"
"Adcy8","ADCY8"
"Gmip","GMIP"
"Gm42559","GM42559"
"Gm10603","GM10603"
"Erich2","ERICH2"
"Naaa","NAAA"
"Abcc10","ABCC10"
"Aifm2","AIFM2"
"Gm42842","GM42842"
"Gm42819","GM42819"
"Id1","ID1"
"Sema4d","SEMA4D"
"Gm42551","GM42551"
"Gm10791","GM10791"
"Pcdh17","PCDH17"
"Acy3","ACY3"
"Gm42648","GM42648"
"Tpk1","TPK1"
"Gm18325","GM18325"
"Vsig10","VSIG10"
"Rom1","ROM1"
"Kctd11","KCTD11"
"Gm15801","GM15801"
"Gm43221","GM43221"
"Gm43702","GM43702"
"Gm18988","GM18988"
"Gm16159","GM16159"
"Tmem204","TMEM204"
"Gm44664","GM44664"
"Zc3h3","ZC3H3"
"Azin2","AZIN2"
"Gm48600","GM48600"
"Gm9770","GM9770"
"Gm7694","GM7694"
"2610001A08Rik","2610001A08RIK"
"4833438C02Rik","4833438C02RIK"
"Gm39326","GM39326"
"Fam189b","FAM189B"
"Gm30873","GM30873"
"Slitrk6","SLITRK6"
"Gm12925","GM12925"
"Gm17981","GM17981"
"Rac3","RAC3"
"Apcdd1","APCDD1"
"Gm47652","GM47652"
"Gm37573","GM37573"
"Gm43216","GM43216"
"Gm38374","GM38374"
"Gm43573","GM43573"
"Pim2","PIM2"
"Gm29487","GM29487"
"Pcdhgb1","PCDHGB1"
"Insyn2a","INSYN2A"
"Neu3","NEU3"
"Gm16316","GM16316"
"Gm11805","GM11805"
"Ank1","ANK1"
"Cd180","CD180"
"Gm45632","GM45632"
"1700007J10Rik","1700007J10RIK"
"4631405J19Rik","4631405J19RIK"
"Rimbp3","RIMBP3"
"Psapl1","PSAPL1"
"Ficd","FICD"
"Socs3","SOCS3"
"Klrg2","KLRG2"
"Gm43788","GM43788"
"Gm49539","GM49539"
"Gm15728","GM15728"
"Gm17709","GM17709"
"Crocc","CROCC"
"Npr1","NPR1"
"2900018N21Rik","2900018N21RIK"
"Gm41556","GM41556"
"Calml4","CALML4"
"Dbp","DBP"
"Naa80","NAA80"
"Alas2","ALAS2"
"Glb1l2","GLB1L2"
"Rnf225","RNF225"
"Plk3","PLK3"
"Gm42822","GM42822"
"Gm37297","GM37297"
"Gm15893","GM15893"
"Gm17214","GM17214"
"Klhl3","KLHL3"
"Gm15916","GM15916"
"Osmr","OSMR"
"Tfeb","TFEB"
"Egr3","EGR3"
"Adamts17","ADAMTS17"
"Cetn4","CETN4"
"Ankrd13d","ANKRD13D"
"Gm49658","GM49658"
"Lrfn3","LRFN3"
"Gm37805","GM37805"
"9330154K18Rik","9330154K18RIK"
"Gm43039","GM43039"
"Prox2","PROX2"
"Mypop","MYPOP"
"Tram1l1","TRAM1L1"
"Prkg1","PRKG1"
"Gm15764","GM15764"
"Slc29a2","SLC29A2"
"Gm16140","GM16140"
"Gm37706","GM37706"
"Kif19a","KIF19A"
"Rapgef4os1","RAPGEF4OS1"
"Gm49283","GM49283"
"Gm38177","GM38177"
"Gm5842","GM5842"
"1700028E10Rik","1700028E10RIK"
"Sgsh","SGSH"
"Dusp14","DUSP14"
"Zfp580","ZFP580"
"Ppp1r13b","PPP1R13B"
"Ppfia3","PPFIA3"
"Rdh5","RDH5"
"Paqr5","PAQR5"
"Kcng1","KCNG1"
"Gm45804","GM45804"
"A930001C03Rik","A930001C03RIK"
"Gm48602","GM48602"
"Ccn1","CCN1"
"Klf2","KLF2"
"Ccdc30","CCDC30"
"Syn3","SYN3"
"Gm42968","GM42968"
"Gm26720","GM26720"
"Gm48747","GM48747"
"Iqck","IQCK"
"Gm5441","GM5441"
"Prrt1","PRRT1"
"Gm29650","GM29650"
"Gm14636","GM14636"
"Gm47898","GM47898"
"Clec2d","CLEC2D"
"Sept5","SEPT5"
"Ifi30","IFI30"
"Shb","SHB"
"Tppp","TPPP"
