"mouse_gene","human_gene"
"Gm15521","GM15521"
"Angptl7","ANGPTL7"
"Gm48887","GM48887"
"Gm49338","GM49338"
"Pcsk6","PCSK6"
"H60b","H60B"
"Zfp641","ZFP641"
"Col11a1","COL11A1"
"4833422M21Rik","4833422M21RIK"
"Nfkbie","NFKBIE"
"Cdh11","CDH11"
"Gm29480","GM29480"
"Slc10a3","SLC10A3"
"Gm2115","GM2115"
"Mrgpre","MRGPRE"
"Gm38414","GM38414"
"Gm16464","GM16464"
"1700052K11Rik","1700052K11RIK"
"Gm42640","GM42640"
"Gm32618","GM32618"
"Aifm3","AIFM3"
"Pcdhga7","PCDHGA7"
"Porcn","PORCN"
"Trpc1","TRPC1"
"Lncpint","LNCPINT"
"Arfgef3","ARFGEF3"
"Arhgap24","ARHGAP24"
"Itm2a","ITM2A"
"Galt","GALT"
"A930019D19Rik","A930019D19RIK"
"Gm48272","GM48272"
"Nuak1","NUAK1"
"Gulp1","GULP1"
"Gm18021","GM18021"
"Gm48708","GM48708"
"Gm37932","GM37932"
"Gm42446","GM42446"
"Fbxo2","FBXO2"
"Enox1","ENOX1"
"4933413C19Rik","4933413C19RIK"
"Armc7","ARMC7"
"Gm44443","GM44443"
"Kcnd3os","KCND3OS"
"Arhgef19","ARHGEF19"
"Gm18422","GM18422"
"Rab11fip5","RAB11FIP5"
"Gm17137","GM17137"
"Gm49660","GM49660"
"Rapgef4os2","RAPGEF4OS2"
"4430402I18Rik","4430402I18RIK"
"Kank4os","KANK4OS"
"Dmpk","DMPK"
"Asap3","ASAP3"
"Gm16536","GM16536"
"Gm20491","GM20491"
"Trpm4","TRPM4"
"Gm16010","GM16010"
"Borcs6","BORCS6"
"Gm15485","GM15485"
"Arid3b","ARID3B"
"Zfp346","ZFP346"
"Dach2","DACH2"
"Gm48804","GM48804"
"Gm18949","GM18949"
"Tbc1d25","TBC1D25"
"Gm44745","GM44745"
"Fam117a","FAM117A"
"Fsd1","FSD1"
"Gm42943","GM42943"
"A930007I19Rik","A930007I19RIK"
"Gm42478","GM42478"
"Ccdc184","CCDC184"
"Gm37720","GM37720"
"F8","F8"
"Cxcr6","CXCR6"
"A930003A15Rik","A930003A15RIK"
"G530011O06Rik","G530011O06RIK"
"Reep6","REEP6"
"Spef1","SPEF1"
"Gm9987","GM9987"
"Pcdhga9","PCDHGA9"
"Xkr6","XKR6"
"Ccdc9b","CCDC9B"
"Kcnn3","KCNN3"
"Scn8a","SCN8A"
"Ccdc189","CCDC189"
"Rtl5","RTL5"
"Col18a1","COL18A1"
"Gm44256","GM44256"
"4930599N24Rik","4930599N24RIK"
"Gm48536","GM48536"
"Tead3","TEAD3"
"Carmil3","CARMIL3"
"Crebl2","CREBL2"
"Gnb1l","GNB1L"
"Cryba1","CRYBA1"
"Gm44190","GM44190"
"Zdhhc24","ZDHHC24"
"Gm42141","GM42141"
"Gm38082","GM38082"
"Gm37736","GM37736"
"9330121K16Rik","9330121K16RIK"
"Pfkp","PFKP"
"Atg9a","ATG9A"
"Pcdhga6","PCDHGA6"
"Ankrd42","ANKRD42"
"1700003M07Rik","1700003M07RIK"
"Cpeb3","CPEB3"
"9930012K11Rik","9930012K11RIK"
"Man1a","MAN1A"
"Gm48601","GM48601"
"Gm48796","GM48796"
"Bhlhe41","BHLHE41"
"Pcdhga3","PCDHGA3"
"Jund","JUND"
"Scube3","SCUBE3"
"Adcy5","ADCY5"
"Efr3b","EFR3B"
"Gm37137","GM37137"
"Pex26","PEX26"
"9130015G15Rik","9130015G15RIK"
"Retsat","RETSAT"
"Snx32","SNX32"
"Dnhd1","DNHD1"
"C030006K11Rik","C030006K11RIK"
"Kcnk2","KCNK2"
"Fhl3","FHL3"
"Unc5d","UNC5D"
"Naga","NAGA"
"Armc5","ARMC5"
"Gm28884","GM28884"
"Tpra1","TPRA1"
"Gm42517","GM42517"
"Zfpm1","ZFPM1"
"Gm34684","GM34684"
"Slc22a5","SLC22A5"
"H2-T10","H2-T10"
"Gm7420","GM7420"
"Rtn4rl1","RTN4RL1"
"Tmem40","TMEM40"
"Zfp711","ZFP711"
"Aspn","ASPN"
"Gm47798","GM47798"
"Med26","MED26"
"Ggta1","GGTA1"
"Ifitm2","IFITM2"
"Gm19721","GM19721"
"Gm15417","GM15417"
"Gan","GAN"
"Gucy1a2","GUCY1A2"
"Gm38182","GM38182"
"Them6","THEM6"
"Gm12786","GM12786"
"Gm43633","GM43633"
"Syt1","SYT1"
"Bscl2","BSCL2"
"Gm38217","GM38217"
"Gm48855","GM48855"
"Gm48771","GM48771"
"Gm37331","GM37331"
"Elfn1","ELFN1"
"Ak5","AK5"
"Camkk1","CAMKK1"
"Gm37936","GM37936"
"Gm43486","GM43486"
"Gm48713","GM48713"
"Drp2","DRP2"
"Gm12892","GM12892"
"Ilvbl","ILVBL"
"AC167245.1","AC167245.1"
"Boc","BOC"
"Gm18959","GM18959"
"AC133601.1","AC133601.1"
"Kctd15","KCTD15"
"Itga11","ITGA11"
"Gm43485","GM43485"
"Galnt16","GALNT16"
"E030030I06Rik","E030030I06RIK"
"Gm26711","GM26711"
"Kctd21","KCTD21"
"Gm43186","GM43186"
"Zbtb4","ZBTB4"
"Gm37855","GM37855"
"Nr3c2","NR3C2"
"Prx","PRX"
"Foxd2","FOXD2"
"Gm10524","GM10524"
"Ccr9","CCR9"
"Npr2","NPR2"
"Cpm","CPM"
"Tbx2","TBX2"
"Usp20","USP20"
"AC154542.1","AC154542.1"
"Gcc1","GCC1"
"Cfap54","CFAP54"
"Gng7","GNG7"
"Hykk","HYKK"
"Klhl18","KLHL18"
"Gm37382","GM37382"
"Arhgap23","ARHGAP23"
"Ppp1r15a","PPP1R15A"
"Cyp1b1","CYP1B1"
"Parp4","PARP4"
"Pcdhgb4","PCDHGB4"
"Atp10d","ATP10D"
"Myd88","MYD88"
"Gpr34","GPR34"
"Otx1","OTX1"
"4632418H02Rik","4632418H02RIK"
"Gm44752","GM44752"
"1190001M18Rik","1190001M18RIK"
"Gm37204","GM37204"
"Gm37818","GM37818"
"Gm48889","GM48889"
"Gm29994","GM29994"
"Slc46a1","SLC46A1"
"Anks3","ANKS3"
"Gm44109","GM44109"
"Pak3","PAK3"
"Gm49980","GM49980"
"Gm47026","GM47026"
"Gm38340","GM38340"
"Armcx6","ARMCX6"
"Gm42989","GM42989"
"Mob3c","MOB3C"
"Gm47283","GM47283"
"Slc1a1","SLC1A1"
"Zfp979","ZFP979"
"Gm42866","GM42866"
"Serpinb8","SERPINB8"
"Tkfc","TKFC"
"Omd","OMD"
"Nr6a1","NR6A1"
"Arhgap20os","ARHGAP20OS"
"Pgap3","PGAP3"
"Gm43018","GM43018"
"Mrtfa","MRTFA"
"Gm43268","GM43268"
"Ebf4","EBF4"
"Cdkl3","CDKL3"
"Fam227a","FAM227A"
"H2-DMa","H2-DMA"
"Thsd1","THSD1"
"Lingo1","LINGO1"
"Tcp11l2","TCP11L2"
"Gm48726","GM48726"
"9430062P05Rik","9430062P05RIK"
"Lrch1","LRCH1"
"Fam3a","FAM3A"
"Chrnb2","CHRNB2"
"Gm45844","GM45844"
"AC131118.1","AC131118.1"
"Arhgef25","ARHGEF25"
"Gucy1a1","GUCY1A1"
"Rdh10","RDH10"
"Kcnj4","KCNJ4"
"Ggact","GGACT"
"Gm42482","GM42482"
"Habp4","HABP4"
"Gja5","GJA5"
"Gm42996","GM42996"
"Tmem151b","TMEM151B"
"Gm11149","GM11149"
"Esyt1","ESYT1"
"Mafb","MAFB"
"Zfp316","ZFP316"
"Farp2","FARP2"
"Skida1","SKIDA1"
"Gm4544","GM4544"
"Pnpla6","PNPLA6"
"Ttn","TTN"
"Olfr1372-ps1","OLFR1372-PS1"
"Gm42484","GM42484"
"Iba57","IBA57"
"Arhgap44","ARHGAP44"
"Ifi35","IFI35"
"Rgl3","RGL3"
"Prtg","PRTG"
"Gm44867","GM44867"
"Nfatc1","NFATC1"
"Gm37940","GM37940"
"Amigo1","AMIGO1"
"Gm26811","GM26811"
"Vmac","VMAC"
"Ajuba","AJUBA"
"Gm37320","GM37320"
"Gm43168","GM43168"
"Epha2","EPHA2"
"Uros","UROS"
"4930480K15Rik","4930480K15RIK"
"Myo7a","MYO7A"
"Gm7041","GM7041"
"Zfp526","ZFP526"
"Rai14","RAI14"
"Gm26662","GM26662"
"4632404H12Rik","4632404H12RIK"
"Gm42639","GM42639"
"Rnf215","RNF215"
"Fam227b","FAM227B"
"Trip6","TRIP6"
"Gm42942","GM42942"
"Fank1","FANK1"
"Crmp1","CRMP1"
"Zfp811","ZFP811"
"Phf11c","PHF11C"
"Alpl","ALPL"
"Pdzd4","PDZD4"
"Ndor1","NDOR1"
"Zic3","ZIC3"
"Slc12a5","SLC12A5"
"Myh14","MYH14"
"Gfra1","GFRA1"
"Nrg2","NRG2"
"Snapc4","SNAPC4"
"Cacna1a","CACNA1A"
"9630010A21Rik","9630010A21RIK"
"Tek","TEK"
"Speg","SPEG"
"Synpr","SYNPR"
"Igfbp2","IGFBP2"
"Rtl10","RTL10"
"BC024978","BC024978"
"Dse","DSE"
"Gm43187","GM43187"
"Tctn1","TCTN1"
"Gm9821","GM9821"
"Fbxl18","FBXL18"
"Tmem67","TMEM67"
"A330023F24Rik","A330023F24RIK"
"4930412M03Rik","4930412M03RIK"
"Ston1","STON1"
"Dusp8","DUSP8"
"Gm42946","GM42946"
"Setd1a","SETD1A"
"A730017L22Rik","A730017L22RIK"
"Snap91","SNAP91"
"Ednra","EDNRA"
"Gm47987","GM47987"
"Sh3yl1","SH3YL1"
"Gm37459","GM37459"
"R74862","R74862"
"Numb","NUMB"
"Zkscan2","ZKSCAN2"
"Tonsl","TONSL"
"Ap5b1","AP5B1"
"Gp5","GP5"
"Gcnt2","GCNT2"
"Zgpat","ZGPAT"
"Crtc2","CRTC2"
"2610203C22Rik","2610203C22RIK"
"Zbtb45","ZBTB45"
"Gm49883","GM49883"
"Hs1bp3","HS1BP3"
"Homer3","HOMER3"
"Thrb","THRB"
"Bud13","BUD13"
"Dtx3","DTX3"
"Als2cl","ALS2CL"
"Gm44440","GM44440"
"Gm37058","GM37058"
"Inf2","INF2"
"Lipg","LIPG"
"Zfp523","ZFP523"
"Chsy3","CHSY3"
"Gm13543","GM13543"
"Slc9a9","SLC9A9"
"Syt7","SYT7"
"Gm19445","GM19445"
"Lmln","LMLN"
"4933426K07Rik","4933426K07RIK"
"Pbx4","PBX4"
"Gm19265","GM19265"
"Myl6b","MYL6B"
"Ier5","IER5"
"Tent5c","TENT5C"
"Arhgap33","ARHGAP33"
"Efna4","EFNA4"
"Coro7","CORO7"
"Palm","PALM"
"Nkain2","NKAIN2"
"Fbln1","FBLN1"
"Ttc8","TTC8"
"B230311B06Rik","B230311B06RIK"
"Lrrk2","LRRK2"
"Dennd4b","DENND4B"
"2900011O08Rik","2900011O08RIK"
"Rptoros","RPTOROS"
"Gm47027","GM47027"
"Gm16072","GM16072"
"Sult6b1","SULT6B1"
"Fbxo25","FBXO25"
"Gm46519","GM46519"
"H2afy3","H2AFY3"
"Hs3st3a1","HS3ST3A1"
"Lipa","LIPA"
"Ric3","RIC3"
"Zic4","ZIC4"
"Gm17396","GM17396"
"Slco1c1","SLCO1C1"
"Pygb","PYGB"
"Tmem255a","TMEM255A"
"Nox4","NOX4"
"BC034090","BC034090"
"Cbarp","CBARP"
"Scn7a","SCN7A"
"Ormdl3","ORMDL3"
"Camkmt","CAMKMT"
"Pgbd5","PGBD5"
"Smpd3","SMPD3"
"Crybg1","CRYBG1"
"Gm34804","GM34804"
"Acox3","ACOX3"
"Cyp4v3","CYP4V3"
"Pcdhga4","PCDHGA4"
"Tbc1d2","TBC1D2"
"Gpr146","GPR146"
"Bsn","BSN"
"Gm44441","GM44441"
"Gm49265","GM49265"
"Tspan4","TSPAN4"
"Dnah17","DNAH17"
"4930428E07Rik","4930428E07RIK"
"Lhfpl2","LHFPL2"
"1700030J22Rik","1700030J22RIK"
"8030451A03Rik","8030451A03RIK"
"Cln6","CLN6"
"Gm37048","GM37048"
"Ptprn2","PTPRN2"
"Ehd3","EHD3"
"Gm43188","GM43188"
"Bcam","BCAM"
"Cux2","CUX2"
"Tcf7","TCF7"
"Slc9a1","SLC9A1"
"Arhgef17","ARHGEF17"
"Spaca6","SPACA6"
"Adhfe1","ADHFE1"
"Fam20c","FAM20C"
"Hcfc1r1","HCFC1R1"
"Gm3693","GM3693"
"C530044C16Rik","C530044C16RIK"
"5930403N24Rik","5930403N24RIK"
"Proser1","PROSER1"
"Mcf2l","MCF2L"
"Pigo","PIGO"
"Rnf167","RNF167"
"Kank4","KANK4"
"Camk2n2","CAMK2N2"
"Mt3","MT3"
"Gm48706","GM48706"
"Gm49267","GM49267"
"Frem1","FREM1"
"Klhl21","KLHL21"
"Asah2","ASAH2"
"Vps18","VPS18"
"Gnaz","GNAZ"
"Foxo6","FOXO6"
"Iqub","IQUB"
"Srxn1","SRXN1"
"Furin","FURIN"
"Rimbp2","RIMBP2"
"Dpp7","DPP7"
"Arhgef18","ARHGEF18"
"Lmna","LMNA"
"Usp53","USP53"
"Dusp15","DUSP15"
"Rab3c","RAB3C"
"Spock2","SPOCK2"
"Gm38125","GM38125"
"Nxn","NXN"
"Klhdc8b","KLHDC8B"
"Lmo2","LMO2"
"Catspere2","CATSPERE2"
"Anks1","ANKS1"
"Vamp2","VAMP2"
"Cfap47","CFAP47"
"Zfp992","ZFP992"
"Phactr2","PHACTR2"
"Rimklb","RIMKLB"
"Ptprk","PTPRK"
"Gm44291","GM44291"
"Gm39473","GM39473"
"Car12","CAR12"
"Tsku","TSKU"
"Safb2","SAFB2"
"Pacs1","PACS1"
"Fbxo32","FBXO32"
"Gm12981","GM12981"
"Tbkbp1","TBKBP1"
"Col4a6","COL4A6"
"Tesk1","TESK1"
"Ltbp4","LTBP4"
"Cables2","CABLES2"
"Iglon5","IGLON5"
"D130017N08Rik","D130017N08RIK"
"Snta1","SNTA1"
"Cntnap4","CNTNAP4"
"Ggcx","GGCX"
"Lrrc8a","LRRC8A"
"En2","EN2"
"4933423P22Rik","4933423P22RIK"
"Mcoln1","MCOLN1"
"Inpp5a","INPP5A"
"Ppip5k1","PPIP5K1"
"Mbnl3","MBNL3"
"Cyb5rl","CYB5RL"
"Gm42481","GM42481"
"Npl","NPL"
"Slc26a11","SLC26A11"
"Stard10","STARD10"
"Sertm1","SERTM1"
"Meak7","MEAK7"
"Crb1","CRB1"
"Abca9","ABCA9"
"Slc49a4","SLC49A4"
"Cyp4f16","CYP4F16"
"Mov10","MOV10"
"6030400A10Rik","6030400A10RIK"
"Ell","ELL"
"Maneal","MANEAL"
"Slc44a2","SLC44A2"
"Btbd9","BTBD9"
"Gm37334","GM37334"
"Gm37956","GM37956"
"Gpc1","GPC1"
"Bcl2l11","BCL2L11"
"Fhod1","FHOD1"
"Gm45191","GM45191"
"Mospd3","MOSPD3"
"Them5","THEM5"
"Sik1","SIK1"
"Gpsm1","GPSM1"
"Ttll8","TTLL8"
"Satb2","SATB2"
"Dyrk3","DYRK3"
"Mlxip","MLXIP"
"Fam53b","FAM53B"
"Fam173a","FAM173A"
"Fndc5","FNDC5"
"Usp30","USP30"
"Cntn3","CNTN3"
"Dnaaf5","DNAAF5"
"Aldh4a1","ALDH4A1"
"Pik3ip1","PIK3IP1"
"Pou4f1","POU4F1"
"Ints1","INTS1"
"Trim25","TRIM25"
"D330050G23Rik","D330050G23RIK"
"Dnah1","DNAH1"
"Sorbs2","SORBS2"
"C230034O21Rik","C230034O21RIK"
"Lypd1","LYPD1"
"Rfng","RFNG"
"Foxp4","FOXP4"
"Aup1","AUP1"
"4930570G19Rik","4930570G19RIK"
"Sox1","SOX1"
"Trerf1","TRERF1"
"Tjap1","TJAP1"
"G6pc3","G6PC3"
"Plppr2","PLPPR2"
"Mitf","MITF"
"Lpcat4","LPCAT4"
"Adam23","ADAM23"
"Gm973","GM973"
"Myo19","MYO19"
"Rrp12","RRP12"
"1500009C09Rik","1500009C09RIK"
"Alg3","ALG3"
"Sec14l5","SEC14L5"
"Zmym3","ZMYM3"
"Psmf1","PSMF1"
"Nipal3","NIPAL3"
"Slc41a3","SLC41A3"
"Adgrg6","ADGRG6"
"St6galnac5","ST6GALNAC5"
"Hivep3","HIVEP3"
"Phxr4","PHXR4"
"Sytl4","SYTL4"
"Sez6l","SEZ6L"
"Camk2a","CAMK2A"
"Smarcd3","SMARCD3"
"6330403L08Rik","6330403L08RIK"
"Btg2","BTG2"
"Nbeal2","NBEAL2"
"Sned1","SNED1"
"Gm42731","GM42731"
"Gm7985","GM7985"
"Cnot3","CNOT3"
"Gm38059","GM38059"
"Fam219a","FAM219A"
"Nckipsd","NCKIPSD"
"Skiv2l","SKIV2L"
"Rtl8a","RTL8A"
"Sash1","SASH1"
"Arsb","ARSB"
"Bend3","BEND3"
"Nudt10","NUDT10"
"Plagl2","PLAGL2"
"Rbm38","RBM38"
"Prdm11","PRDM11"
"Smad7","SMAD7"
"Bcor","BCOR"
"Gm15991","GM15991"
"Trim62","TRIM62"
"Syde1","SYDE1"
"Nbl1","NBL1"
"Lif","LIF"
"Ctns","CTNS"
"Tmem150a","TMEM150A"
"Pacsin3","PACSIN3"
"Sec22c","SEC22C"
"Fam160b2","FAM160B2"
"1700123O21Rik","1700123O21RIK"
"5730409E04Rik","5730409E04RIK"
"Rtn2","RTN2"
"Galnt4","GALNT4"
"Fosl2","FOSL2"
"Tubb4a","TUBB4A"
"Fam171a2","FAM171A2"
"Dchs2","DCHS2"
"Gm5089","GM5089"
"Vwc2","VWC2"
"Myo1e","MYO1E"
"Spata3","SPATA3"
"Rnft2","RNFT2"
"Cdc42bpb","CDC42BPB"
"Btbd19","BTBD19"
"Gm44699","GM44699"
"Tmem115","TMEM115"
"Slc4a8","SLC4A8"
"Zfp703","ZFP703"
"Gpr55","GPR55"
"Tmem51","TMEM51"
"Ctdnep1","CTDNEP1"
"Caskin2","CASKIN2"
"Vps53","VPS53"
"Cyb5r1","CYB5R1"
"4933407L21Rik","4933407L21RIK"
"Lgals8","LGALS8"
"Tmem260","TMEM260"
"Atat1","ATAT1"
"Nat10","NAT10"
"Pknox2","PKNOX2"
"Mgat3","MGAT3"
"Gm38228","GM38228"
"Atp7b","ATP7B"
"Tmem250-ps","TMEM250-PS"
"Cul9","CUL9"
"Ncs1","NCS1"
"Pmepa1","PMEPA1"
"Unc5c","UNC5C"
"Kcnt1","KCNT1"
"Myl9","MYL9"
"Dpf1","DPF1"
"Gm36480","GM36480"
"Ttc13","TTC13"
"Sfmbt2","SFMBT2"
"Insyn1","INSYN1"
"Lmbr1","LMBR1"
"Dbndd2","DBNDD2"
"Kif13b","KIF13B"
"Cxxc4","CXXC4"
"Abcd1","ABCD1"
"Chpf","CHPF"
"Ppp1r16a","PPP1R16A"
"Bace1","BACE1"
"Ipo4","IPO4"
"Insm1","INSM1"
"Peg13","PEG13"
"5730408A14Rik","5730408A14RIK"
"Etv4","ETV4"
"Lrrn3","LRRN3"
"1700023B13Rik","1700023B13RIK"
"Adam15","ADAM15"
"Erc2","ERC2"
"Phkg1","PHKG1"
"Socs2","SOCS2"
